Atomic Number,Atomic Radius (pm),Group Number
1,53,1
2,31,18
3,167,1
4,112,2
5,87,13
6,67,14
7,56,15
8,48,16
9,42,17
10,38,18
11,190,1
12,145,2
13,118,13
14,111,14
15,98,15
16,88,16
17,79,17
18,71,18
19,243,1
20,194,2
21,184,3
22,176,4
23,171,5
24,166,6
25,161,7
26,156,8
27,152,9
28,149,10
29,145,11
30,142,12
31,136,13
32,125,14
33,114,15
34,103,16
35,94,17
36,88,18
37,265,1
38,219,2
39,212,3
40,206,4
41,198,5
42,190,6
43,183,7
44,178,8
45,173,9
46,169,10
47,165,11
48,161,12
49,156,13
50,145,14
51,133,15
52,123,16
53,115,17
54,108,18
55,298,1
56,253,2
57,195,3
58,185,3
59,247,3
60,206,3
61,205,3
62,238,3
63,231,3
64,233,3
65,225,3
66,228,3
67,226,3
68,226,3
69,222,3
70,222,3
71,217,3
72,208,4
73,200,5
74,193,6
75,188,7
76,185,8
77,180,9
78,177,10
79,174,11
80,171,12
81,156,13
82,154,14
83,143,15
84,135,16
85,127,17
86,120,18
87,320,1
88,282,2
89,243,3
90,240,3
91,243,3
92,238,3
93,236,3
94,229,3
95,225,3
96,224,3
97,223,3
98,222,3
99,221,3
100,220,3
101,219,3
102,218,3
103,217,3
104,157,4
105,149,5
106,143,6
107,141,7
108,134,8
109,129,9
110,128,10
111,121,11
112,122,12
113,136,13
114,143,14
115,162,15
116,170,16
117,180,17
118,188,18
